dataset,f1,f2,vae,knn,k,diff,absdiff
letter-recognition,226,243,0.5066352513245505,0.5423916997303936,1.0,0.03575644840584313,0.03575644840584313
letter-recognition,401,489,0.5226058201064517,0.5352480158754861,27.0,0.012642195769034359,0.012642195769034359
letter-recognition,109,315,0.517199074075767,0.5173966600518715,27.0,0.00019758597610441964,0.00019758597610441964
letter-recognition,98,277,0.5087078373034029,0.5159110449730325,11.0,0.007203207669629674,0.007203207669629674
letter-recognition,133,602,0.5300586970912335,0.51847387566166,27.0,-0.01158482142957351,0.01158482142957351
letter-recognition,59,376,0.5152207341256547,0.5243179563504068,1.0,0.009097222224752066,0.009097222224752066
letter-recognition,130,196,0.5082605820118486,0.5345924272509358,27.0,0.02633184523908716,0.02633184523908716
letter-recognition,176,362,0.5363136574116404,0.5164426256614517,1.0,-0.019871031750188672,0.019871031750188672
letter-recognition,304,346,0.5093080357148809,0.511808862435215,1.0,0.002500826720334026,0.002500826720334026
libras,45,79,0.6626175548576019,0.6120689655135189,1.0,-0.05054858934408302,0.05054858934408302
libras,14,38,0.5791536050140282,0.6998432601952586,1.0,0.12068965518123032,0.12068965518123032
libras,26,35,0.6410658307207681,0.6782915360481191,1.0,0.03722570532735103,0.03722570532735103
libras,61,79,0.5615203761655172,0.6880877742990203,3.0,0.12656739813350315,0.12656739813350315
libras,3,40,0.6179467084793888,0.6822100313503134,1.0,0.06426332287092462,0.06426332287092462
libras,26,66,0.5532915360584639,0.5873824451338558,1.0,0.03409090907539192,0.03409090907539192
libras,20,23,0.6022727272764498,0.5697492163082288,11.0,-0.032523510968220926,0.032523510968220926
libras,5,46,0.5689655172351489,0.5881661441993731,1.0,0.0192006269642242,0.0192006269642242
libras,30,47,0.5407523510960032,0.6602664576922415,27.0,0.11951410659623829,0.11951410659623829
libras,28,64,0.5548589341740595,0.6116771160016459,27.0,0.056818181827586356,0.056818181827586356
madelon,239,496,0.5293786982263018,0.5311908284016716,1.0,0.0018121301753698527,0.0018121301753698527
madelon,283,471,0.5293565088734912,0.548772189348003,5.0,0.01941568047451181,0.01941568047451181
madelon,259,424,0.520266272181997,0.9810207100406362,1.0,0.46075443785863923,0.46075443785863923
madelon,348,411,0.5240310650912426,0.5236834319479142,1.0,-0.00034763314332841855,0.00034763314332841855
madelon,216,340,0.5153624260264199,0.5325147928982841,1.0,0.017152366871864166,0.017152366871864166
madelon,148,297,0.5197263313628994,0.5267529585810798,3.0,0.007026627218180481,0.007026627218180481
madelon,61,322,0.5149926035479734,0.5359245562173669,3.0,0.020931952669393517,0.020931952669393517
madelon,312,377,0.5147559171596598,0.5990828402302366,1.0,0.08432692307057676,0.08432692307057676
madelon,243,452,0.5261760355041568,0.6225221893314644,1.0,0.0963461538273076,0.0963461538273076
madelon,39,338,0.5461538461544232,0.6065606508878106,1.0,0.06040680473338744,0.06040680473338744
magic-telescope,1,6,0.6095488853444315,0.6635483751759989,5.0,0.05399948983156733,0.05399948983156733
magic-telescope,2,6,0.6144961019081949,0.6837986382887639,5.0,0.06930253638056894,0.06930253638056894
magic-telescope,1,7,0.6625498432815822,0.707883978832702,5.0,0.04533413555111987,0.04533413555111987
magic-telescope,1,10,0.7047366038889591,0.6762243679352518,27.0,-0.028512235953707332,0.028512235953707332
magic-telescope,4,5,0.5552534107916972,0.6255912878078963,5.0,0.07033787701619909,0.07033787701619909
magic-telescope,3,7,0.6130752540394281,0.6321477887776716,11.0,0.01907253473824355,0.01907253473824355
magic-telescope,1,9,0.7521650510230946,0.8459460089926916,27.0,0.09378095796959696,0.09378095796959696
magic-telescope,3,5,0.5199930563276758,0.619421202927625,27.0,0.09942814659994925,0.09942814659994925
magic-telescope,2,4,0.6784427386166382,0.752955908877988,27.0,0.07451317026134985,0.07451317026134985
magic-telescope,7,8,0.6368950565997942,0.667621118949346,5.0,0.030726062349551775,0.030726062349551775
miniboone,10,22,0.5031054449712394,0.5782520246358747,27.0,0.07514657966463523,0.07514657966463523
miniboone,27,36,0.7801369533590001,0.6070649222688151,27.0,-0.17307203109018499,0.17307203109018499
miniboone,6,39,0.5912199489181547,0.6807280119492927,27.0,0.08950806303113801,0.08950806303113801
miniboone,14,40,0.6937481159173512,0.5851461880234468,27.0,-0.10860192789390444,0.10860192789390444
miniboone,18,26,0.5485859474941924,0.6993779212889596,27.0,0.15079197379476716,0.15079197379476716
miniboone,7,16,0.6355416203966854,0.826834421753958,27.0,0.19129280135727267,0.19129280135727267
miniboone,5,21,0.5710207832966091,0.60789908707389,3.0,0.03687830377728085,0.03687830377728085
miniboone,2,4,0.732772429834136,0.633546724898262,27.0,-0.09922570493587402,0.09922570493587402
miniboone,18,28,0.5832302940823877,0.5105801365839348,5.0,-0.07265015749845294,0.07265015749845294
miniboone,1,22,0.747784310812748,0.6393046955120305,27.0,-0.10847961530071748,0.10847961530071748
multiple-features,50,183,0.7163020833328124,0.69548177083375,27.0,-0.020820312499062466,0.020820312499062466
multiple-features,179,527,0.5566927083296875,0.9776562500159376,1.0,0.42096354168625005,0.42096354168625005
multiple-features,43,231,0.53890625,0.6730598958321875,27.0,0.13415364583218747,0.13415364583218747
multiple-features,405,604,0.5716536458343751,0.5436197916646874,1.0,-0.028033854169687622,0.028033854169687622
multiple-features,32,214,0.5654947916674999,0.9407031249996876,1.0,0.3752083333321876,0.3752083333321876
multiple-features,205,207,0.7009765625,0.7029166666665624,27.0,0.0019401041665624286,0.0019401041665624286
multiple-features,31,173,0.5511848958334374,0.6692447916665625,27.0,0.11805989583312504,0.11805989583312504
multiple-features,144,374,0.550768229161875,0.9731770833168748,1.0,0.42240885415499985,0.42240885415499985
multiple-features,199,503,0.641992187498125,0.931796875014375,1.0,0.28980468751625,0.28980468751625
multiple-features,30,58,0.686445312496875,0.7064843749984375,1.0,0.02003906250156251,0.02003906250156251
musk-2,21,165,0.6045122614870141,0.7454995874818156,1.0,0.14098732599480146,0.14098732599480146
musk-2,49,122,0.5446025769255141,0.8200844348473083,1.0,0.27548185792179425,0.27548185792179425
musk-2,94,140,0.5355732266056187,0.763687749046819,1.0,0.22811452244120034,0.22811452244120034
musk-2,5,83,0.522837783275831,0.8751141011583639,1.0,0.3522763178825329,0.3522763178825329
musk-2,130,151,0.5624111327610436,0.8965497568827716,1.0,0.334138624121728,0.334138624121728
musk-2,19,25,0.5225832499473079,0.8090714799850043,1.0,0.2864882300376964,0.2864882300376964
musk-2,68,110,0.5341030772266911,0.820657134831568,1.0,0.28655405760487684,0.28655405760487684
musk-2,20,148,0.5412958379348316,0.7610480629174621,1.0,0.21975222498263047,0.21975222498263047
musk-2,64,159,0.5358497024563814,0.7679489880151003,1.0,0.23209928555871884,0.23209928555871884
musk-2,2,63,0.552063036491299,0.8567767303817311,1.0,0.3047136938904321,0.3047136938904321
page-blocks,5,6,0.7658725112673536,0.8891603691113819,27.0,0.12328785784402829,0.12328785784402829
page-blocks,2,5,0.7693467519278243,0.8648043525606853,27.0,0.09545760063286102,0.09545760063286102
page-blocks,7,10,0.7943839921531166,0.7819766385637008,27.0,-0.012407353589415804,0.012407353589415804
page-blocks,1,6,0.9183984886003136,0.8038212105665914,1.0,-0.1145772780337222,0.1145772780337222
page-blocks,2,8,0.7027957418902708,0.6979045560278593,1.0,-0.004891185862411551,0.004891185862411551
page-blocks,7,9,0.8059148379560892,0.8226139005946346,27.0,0.01669906263854537,0.01669906263854537
page-blocks,6,9,0.5760200188860073,0.6336560819727324,5.0,0.05763606308672509,0.05763606308672509
page-blocks,4,10,0.8079176355226982,0.830629632320168,27.0,0.022711996797469713,0.022711996797469713
page-blocks,2,9,0.7207755050115681,0.7493324008026324,5.0,0.02855689579106435,0.02855689579106435
page-blocks,8,9,0.5851574989057249,0.5645073390464594,1.0,-0.020650159859265438,0.020650159859265438
parkinsons,14,17,0.57999999998,0.62166666667,11.0,0.041666666690000076,0.041666666690000076
parkinsons,19,20,0.596666666665,0.7700000000000001,27.0,0.17333333333500012,0.17333333333500012
parkinsons,1,7,0.789999999985,0.7916666666650001,11.0,0.0016666666800000396,0.0016666666800000396
parkinsons,13,17,0.6133333333350001,0.6900000000100001,27.0,0.076666666675,0.076666666675
parkinsons,13,21,0.608333333325,0.6966666666550002,5.0,0.08833333333000026,0.08833333333000026
parkinsons,8,12,0.78333333334,0.73,11.0,-0.05333333334000001,0.05333333334000001
parkinsons,1,20,0.826666666665,0.77166666667,11.0,-0.05499999999500005,0.05499999999500005
parkinsons,1,11,0.750000000005,0.716666666665,11.0,-0.03333333333999999,0.03333333333999999
parkinsons,11,14,0.61333333334,0.765,11.0,0.15166666666000006,0.15166666666000006
parkinsons,9,16,0.691666666665,0.593333333325,5.0,-0.09833333333999994,0.09833333333999994
pendigits,4,14,0.5625452918036659,0.8302016498755869,1.0,0.267656358071921,0.267656358071921
pendigits,8,11,0.688300155190926,0.8009960887537525,1.0,0.11269593356282648,0.11269593356282648
pendigits,5,7,0.6780149864161573,0.8012264772102203,1.0,0.12321149079406302,0.12321149079406302
pendigits,12,14,0.5311487655723204,0.8212830940564931,1.0,0.29013432848417275,0.29013432848417275
pendigits,6,10,0.5710502238502257,0.7204134914149208,1.0,0.1493632675646951,0.1493632675646951
pendigits,3,12,0.5646084471901924,0.6998125457193196,1.0,0.13520409852912718,0.13520409852912718
pendigits,1,2,0.5955723229451169,0.81317358631579,1.0,0.2176012633706731,0.2176012633706731
pendigits,5,14,0.5456988090993757,0.8184456349568141,1.0,0.27274682585743837,0.27274682585743837
pendigits,4,11,0.6706880548773404,0.8611986155285034,1.0,0.190510560651163,0.190510560651163
pendigits,6,7,0.5624497447103955,0.7169150615260816,1.0,0.1544653168156861,0.1544653168156861
pima-indians,2,6,0.556851851849,0.602222222227,3.0,0.04537037037799996,0.04537037037799996
pima-indians,5,7,0.5637962962945,0.6219444444425,27.0,0.058148148147999956,0.058148148147999956
pima-indians,2,4,0.611666666668,0.5960185185094999,27.0,-0.01564814815850002,0.01564814815850002
pima-indians,1,2,0.5646296296284999,0.7143518518499999,1.0,0.1497222222215,0.1497222222215
pima-indians,5,8,0.6325925925879999,0.6707407407389999,1.0,0.03814814815099998,0.03814814815099998
pima-indians,2,5,0.5868518518535,0.636666666669,27.0,0.049814814815499986,0.049814814815499986
pima-indians,2,3,0.5946296296350001,0.6349999999895003,27.0,0.040370370354500196,0.040370370354500196
pima-indians,4,6,0.5320370370490001,0.564351851855,1.0,0.03231481480599996,0.03231481480599996
pima-indians,5,6,0.5642592592619999,0.57685185185,1.0,0.012592592588000051,0.012592592588000051
pima-indians,3,7,0.5572222222094999,0.6221296296305,27.0,0.0649074074210001,0.0649074074210001
sonar,11,20,0.6804347826075,0.7032608695599999,5.0,0.02282608695249988,0.02282608695249988
sonar,4,56,0.63913043479,0.7239130434800001,5.0,0.0847826086900001,0.0847826086900001
sonar,11,32,0.6184782608575,0.6554347826099999,3.0,0.03695652175249986,0.03695652175249986
sonar,50,52,0.58695652174,0.5717391304325001,1.0,-0.015217391307499883,0.015217391307499883
sonar,5,25,0.7282608695649999,0.582608695665,27.0,-0.14565217389999996,0.14565217389999996
sonar,3,13,0.635869565225,0.5782608695575,27.0,-0.05760869566750004,0.05760869566750004
sonar,1,33,0.5684782608550001,0.621739130425,11.0,0.05326086956999987,0.05326086956999987
